Achternaam,Voornaam,Stud.Nr.,Vak1,Vak2,Vak3,Vak4,Vak5,
Abbing,Yanick,52311353,Analysemethoden_en_technieken,Data_Mining,Lineaire_Algebra,Software_engineering
Adam,Roelof,76903244,Webprogrammeren_en_databases,
Agema,Willibrordus,6709529,Calculus_2,
Anker,Servaas,70015932,Architectuur_en_computerorganisatie,Software_engineering
Ankone,Wissal,82066165,Compilerbouw_practicum,Project_Genetic_Algorithms
Apeldoorn,Herman,1886996,Advanced_Heuristics,Heuristieken_2
Appel,Evi,13534377,Collectieve_Intelligentie,
Appelhof,Wilmer,54395877,Programmeren_in_Java_2,
Arendse,Benjamin,53512831,Webprogrammeren_en_databases,
Aslan,Diny,56348773,Calculus_2,
Autar,Chesney,13218321,Moderne_Databases,
Avci,Martin,13284244,Compilerbouw,Project_Numerical_Recipes
Baetsen,Gidon,36748818,Informatie_en_organsatieontwerp,Moderne_Databases
Bakkum,Rhona,50184318,Collectieve_Intelligentie,Moderne_Databases
Bart,Wafa,64296965,Analysemethoden_en_technieken,Collectieve_Intelligentie,Databases_2,Kansrekenen_2
Baselmans,Sharan,42778953,Collectieve_Intelligentie,Compilerbouw,Lineaire_Algebra,Project_Numerical_Recipes
Bastings,Edin,82689818,Algoritmen_en_complexiteit,Architectuur_en_computerorganisatie,Collectieve_Intelligentie,Databases_2,Netwerken_en_systeembeveiliging,
Baudoin,Mattijs,81385263,Algoritmen_en_complexiteit,Compilerbouw,Interactie_ontwerp,Lineaire_Algebra,Netwerken_en_systeembeveiliging,
Bauer,Ravi,51741554,Calculus_2,Collectieve_Intelligentie,Netwerken_en_systeembeveiliging,
Becht,Wiert,63939720,Project_Numerical_Recipes,
Bekkema,Kyllian,70844780,Advanced_Heuristics,Netwerken_en_systeembeveiliging,Reflectie_op_de_digitale_cultuur,
Bekker,Marrie,97135019,Calculus_2,Collectieve_Intelligentie,Netwerken_en_systeembeveiliging,Zoeken_sturen_en_bewegen,
Berentsen,Angèle,78136904,Advanced_Heuristics,Algoritmen_en_complexiteit,Kansrekenen_2,Reflectie_op_de_digitale_cultuur
Bergmans,Emil,8522855,Algoritmen_en_complexiteit,Kansrekenen_2,Netwerken_en_systeembeveiliging,Project_Genetic_Algorithms
Berkers,Tian,27064249,Advanced_Heuristics,Calculus_2,Webprogrammeren_en_databases,
Berrevoets,Annique,82872148,Netwerken_en_systeembeveiliging,Software_engineering
Besemer,Theadora,93023961,Data_Mining,
Beulen,Abdallah,22871048,Analysemethoden_en_technieken,Autonomous_Agents_2,Heuristieken_1,Reflectie_op_de_digitale_cultuur,Software_engineering,
Beunen,Eltjo,96554914,Reflectie_op_de_digitale_cultuur,Software_engineering
Bhaggoe,Saba,41585485,Algoritmen_en_complexiteit,Kansrekenen_2,Programmeren_in_Java_2,
Bischoff,Ella,46052388,Collectieve_Intelligentie,
Blijleven,Perry,34691309,Project_Numerical_Recipes,
Blik,Thyrza,54074680,Lineaire_Algebra,
Blikman,Jarik,81200278,Bioinformatica,Data_Mining,Heuristieken_2,Interactie_ontwerp,Netwerken_en_systeembeveiliging,
Blikman,Monika,18266644,Analysemethoden_en_technieken,Informatie_en_organsatieontwerp,Kansrekenen_2,Netwerken_en_systeembeveiliging
Bloemert,Marco,1075391,Collectieve_Intelligentie,
Bloemsma,Anjana,44151631,Compilerbouw_practicum,
Blomsma,Guilliano,69459473,Project_Genetic_Algorithms,Webprogrammeren_en_databases
Boateng,Lenne,40791377,Compilerbouw,Machine_Learning
Boekema,Amadou,5368702,Compilerbouw,Interactie_ontwerp,Kansrekenen_2,
Bol,Armin,88737765,Analysemethoden_en_technieken,Project_Genetic_Algorithms
Bolding,Rayn,27916487,Moderne_Databases,
Bontenbal,Jeremey,20239127,Kansrekenen_2,Reflectie_op_de_digitale_cultuur
Bood,Tariq,28943658,Programmeren_in_Java_2,
Boogert,Hiba,70939718,Calculus_2,Netwerken_en_systeembeveiliging
Borg,Kely,73893840,Programmeren_in_Java_2,
Borsboom,Ken,51415617,Reflectie_op_de_digitale_cultuur,
Boshuis,Narin,19540225,Algoritmen_en_complexiteit,
Bosman,Rudolph,93361408,Calculus_2,
Boutkan,Jael,59220392,Calculus_2,Zoeken_sturen_en_bewegen,
Braamhaar,Resi,82233873,Zoeken_sturen_en_bewegen
Brans,Hanne,36785409,Analysemethoden_en_technieken,Reflectie_op_de_digitale_cultuur,Technology_for_games,
Brasser,Cyrina,77831658,Analysemethoden_en_technieken,Bioinformatica,Project_Numerical_Recipes,
Brink,Femia,45556081,Architectuur_en_computerorganisatie,Collectieve_Intelligentie
